Label_JD,Job Title,Location,Company,Job Type,Job Description
JD 1,Civil Engineer,"Kuala Lumpur, Malaysia","Leonard, Carlson and Hicks",Remote,"As a Civil Engineer, you will be responsible for managing projects. The ideal candidate should have a degree in a relevant field and be passionate about IT. Join our dynamic team at Leonard, Carlson and Hicks and contribute to building a better tomorrow."
JD 2,Project Manager,"George Town, Malaysia",Fowler LLC,Part-time,"As a Project Manager, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Fowler LLC and contribute to shaping the future of the industry."
JD 3,UX Designer,"Bandar Seri Begawan, Brunei","Barnes, Smith and Thompson",Temporary,"We are looking for a dedicated UX Designer to join our Creative Design team at Barnes, Smith and Thompson. Your role will involve developing software. If you have experience in proven experience, apply today and make a difference!"
JD 4,Financial Analyst,"Shah Alam, Malaysia",Norton-Reeves,Remote,"We are looking for a dedicated Financial Analyst to join our Creative Design team at Norton-Reeves. Your role will involve developing software. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 5,Marketing Specialist,"Kuala Lumpur, Malaysia","Myers, Young and Macdonald",Remote,"As a Marketing Specialist, you will be responsible for designing creative solutions. The ideal candidate should have a customer-oriented mindset and be passionate about IT. Join our dynamic team at Myers, Young and Macdonald and contribute to building a better tomorrow."
JD 6,Financial Analyst,"George Town, Malaysia",Thomas Group,Remote,"We are looking for a dedicated Financial Analyst to join our Marketing team at Thomas Group. Your role will involve analyzing data. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 7,Graphic Designer,"Kuching, Malaysia",Walker Ltd,Internship,"As a Graphic Designer, you will be responsible for developing software. The ideal candidate should have excellent communication skills and be passionate about IT. Join our dynamic team at Walker Ltd and contribute to building a better tomorrow."
JD 8,Software Developer,"Kuching, Malaysia",Browning PLC,Temporary,"We are looking for a dedicated Software Developer to join our Engineering team at Browning PLC. Your role will involve designing creative solutions. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 9,Project Manager,"George Town, Malaysia",Glass-Phillips,Internship,"We are looking for a dedicated Project Manager to join our Finance team at Glass-Phillips. Your role will involve designing creative solutions. If you have experience in excellent communication skills, apply today and make a difference!"
JD 10,Marketing Specialist,"George Town, Malaysia",Mitchell LLC,Part-time,"As a Marketing Specialist, you will be responsible for leading teams. The ideal candidate should have a customer-oriented mindset and be passionate about IT. Join our dynamic team at Mitchell LLC and contribute to delivering exceptional results."
JD 11,Financial Analyst,Singapore,"Crawford, Hayes and Robinson",Part-time,"We are looking for a dedicated Financial Analyst to join our Finance team at Crawford, Hayes and Robinson. Your role will involve analyzing data. If you have experience in excellent communication skills, apply today and make a difference!"
JD 12,Marketing Specialist,"Kuching, Malaysia",Doyle-Lee,Internship,"As a Marketing Specialist, you will be responsible for developing software. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Doyle-Lee and contribute to shaping the future of the industry."
JD 13,HR Manager,Singapore,"Lynch, Morales and Atkinson",Remote,"We are looking for a dedicated HR Manager to join our Marketing team at Lynch, Morales and Atkinson. Your role will involve leading teams. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 14,UX Designer,"Seria, Brunei","Hernandez, Bailey and Leon",Temporary,"We are looking for a dedicated UX Designer to join our Creative Design team at Hernandez, Bailey and Leon. Your role will involve designing creative solutions. If you have experience in proven experience, apply today and make a difference!"
JD 15,Customer Service Agent,"Pasir Ris, Singapore",Moore-Allen,Internship,"We are looking for a dedicated Customer Service Agent to join our Creative Design team at Moore-Allen. Your role will involve analyzing data. If you have experience in excellent communication skills, apply today and make a difference!"
JD 16,Civil Engineer,"Kuala Lumpur, Malaysia","Mcbride, Guerra and Glenn",Temporary,"We are looking for a dedicated Civil Engineer to join our Finance team at Mcbride, Guerra and Glenn. Your role will involve developing software. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 17,Data Analyst,"Pasir Ris, Singapore",Smith-Cook,Temporary,"As a Data Analyst, you will be responsible for developing software. The ideal candidate should have a customer-oriented mindset and be passionate about Engineering. Join our dynamic team at Smith-Cook and contribute to delivering exceptional results."
JD 18,Sales Executive,"Johor Bahru, Malaysia","Wilson, Miller and Fisher",Full-time,"As a Sales Executive, you will be responsible for managing projects. The ideal candidate should have excellent communication skills and be passionate about Finance. Join our dynamic team at Wilson, Miller and Fisher and contribute to building a better tomorrow."
JD 19,HR Manager,"Seria, Brunei",Howard-Hicks,Full-time,"We are looking for a dedicated HR Manager to join our IT team at Howard-Hicks. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 20,Financial Analyst,"Shah Alam, Malaysia",Gross Inc,Contract,"As a Financial Analyst, you will be responsible for building client relationships. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Gross Inc and contribute to delivering exceptional results."
JD 21,UX Designer,"Kuala Lumpur, Malaysia",Macdonald Ltd,Temporary,"As a UX Designer, you will be responsible for analyzing data. The ideal candidate should have a customer-oriented mindset and be passionate about IT. Join our dynamic team at Macdonald Ltd and contribute to building a better tomorrow."
JD 22,Data Analyst,"Shah Alam, Malaysia",Lee LLC,Remote,"As a Data Analyst, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Lee LLC and contribute to shaping the future of the industry."
JD 23,Financial Analyst,"Kuching, Malaysia",Mack Ltd,Temporary,"We are looking for a dedicated Financial Analyst to join our Engineering team at Mack Ltd. Your role will involve managing projects. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 24,UX Designer,"Shah Alam, Malaysia",Oneill-Estrada,Temporary,"We are looking for a dedicated UX Designer to join our Engineering team at Oneill-Estrada. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 25,Customer Service Agent,"Shah Alam, Malaysia","Hoffman, Cowan and Wood",Full-time,"We are looking for a dedicated Customer Service Agent to join our Finance team at Hoffman, Cowan and Wood. Your role will involve developing software. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 26,Graphic Designer,"Kuala Lumpur, Malaysia",Bailey LLC,Remote,"We are looking for a dedicated Graphic Designer to join our IT team at Bailey LLC. Your role will involve building client relationships. If you have experience in proven experience, apply today and make a difference!"
JD 27,Project Manager,"Kuala Lumpur, Malaysia",Nguyen-Flowers,Part-time,"As a Project Manager, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about Creative Design. Join our dynamic team at Nguyen-Flowers and contribute to shaping the future of the industry."
JD 28,Marketing Specialist,Singapore,"Wood, Yang and Henry",Contract,"As a Marketing Specialist, you will be responsible for managing projects. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at Wood, Yang and Henry and contribute to delivering exceptional results."
JD 29,UX Designer,"Shah Alam, Malaysia","Anderson, Brown and Fernandez",Remote,"As a UX Designer, you will be responsible for leading teams. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Anderson, Brown and Fernandez and contribute to delivering exceptional results."
JD 30,Marketing Specialist,Singapore,"Henderson, Ward and Romero",Part-time,"We are looking for a dedicated Marketing Specialist to join our Engineering team at Henderson, Ward and Romero. Your role will involve developing software. If you have experience in excellent communication skills, apply today and make a difference!"
JD 31,Customer Service Agent,"Seria, Brunei",Thomas Ltd,Part-time,"We are looking for a dedicated Customer Service Agent to join our IT team at Thomas Ltd. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 32,Software Developer,"Bandar Seri Begawan, Brunei",Morgan Group,Remote,"As a Software Developer, you will be responsible for leading teams. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Morgan Group and contribute to shaping the future of the industry."
JD 33,Cybersecurity Specialist,"Shah Alam, Malaysia","Moreno, Hunt and Harris",Internship,"As a Cybersecurity Specialist, you will be responsible for analyzing data. The ideal candidate should have strong technical knowledge and be passionate about Finance. Join our dynamic team at Moreno, Hunt and Harris and contribute to building a better tomorrow."
JD 34,HR Manager,"Kuala Lumpur, Malaysia","Baker, Brown and James",Remote,"We are looking for a dedicated HR Manager to join our IT team at Baker, Brown and James. Your role will involve building client relationships. If you have experience in strong technical knowledge, apply today and make a difference!"
